Datetime,Sample,Time_Step,MSLP,Latitude,Longitude
2023-07-13 12:00:00,8,0,100145.890625,18.25,122.5
2023-07-13 12:00:00,8,1,100087.0625,19.0,121.0
2023-07-13 12:00:00,8,2,99741.890625,18.25,119.5
2023-07-13 12:00:00,8,3,99555.140625,19.0,118.0
2023-07-13 12:00:00,8,4,99218.296875,19.5,116.5
2023-07-13 12:00:00,8,5,99201.515625,19.25,115.0
2023-07-13 12:00:00,8,6,99211.2734375,19.75,113.5
2023-07-13 12:00:00,8,7,99227.875,19.5,112.0
2023-07-13 12:00:00,8,8,99301.9296875,19.5,110.5
2023-07-13 12:00:00,8,9,99675.359375,20.0,109.0
2023-07-13 12:00:00,8,10,100162.1015625,18.5,107.75
2023-07-13 12:00:00,9,0,100174.8359375,18.5,122.25
2023-07-13 12:00:00,9,1,100071.125,18.5,121.75
2023-07-13 12:00:00,9,2,99851.5546875,18.5,120.25
2023-07-13 12:00:00,9,3,99605.5703125,18.5,118.75
2023-07-13 12:00:00,9,4,99507.265625,19.75,117.25
2023-07-13 12:00:00,9,5,99296.421875,19.0,115.75
2023-07-13 12:00:00,9,6,98863.1796875,19.25,114.25
2023-07-13 12:00:00,9,7,99082.171875,20.25,112.75
2023-07-13 12:00:00,9,8,99656.40625,20.75,111.25
2023-07-13 12:00:00,9,9,100020.046875,21.25,109.75
2023-07-13 12:00:00,10,0,100043.765625,18.5,122.25
2023-07-13 12:00:00,10,1,100066.1796875,19.0,120.75
2023-07-13 12:00:00,10,2,99631.9921875,17.75,119.25
2023-07-13 12:00:00,10,3,99153.2578125,18.75,117.75
2023-07-13 12:00:00,10,4,98820.8515625,18.75,116.25
2023-07-13 12:00:00,10,5,98958.4296875,19.0,114.75
2023-07-13 12:00:00,10,6,99038.359375,19.5,113.25
2023-07-13 12:00:00,10,7,99256.09375,19.0,111.75
2023-07-13 12:00:00,10,8,99801.1796875,19.75,110.25
2023-07-13 12:00:00,10,9,99951.9453125,19.5,109.0
2023-07-13 12:00:00,10,10,100101.40625,19.0,107.5
2023-07-13 12:00:00,11,0,100171.375,18.5,122.25
2023-07-13 12:00:00,11,1,100094.7109375,18.5,121.5
2023-07-13 12:00:00,11,2,99891.8828125,18.0,120.0
2023-07-13 12:00:00,11,3,99083.1328125,18.75,118.5
2023-07-13 12:00:00,11,4,98636.953125,19.0,117.0
2023-07-13 12:00:00,11,5,97956.890625,19.0,115.5
2023-07-13 12:00:00,11,6,98277.328125,19.5,114.0
2023-07-13 12:00:00,11,7,97640.4140625,20.0,112.5
2023-07-13 12:00:00,11,8,98402.7578125,20.75,111.0
2023-07-13 12:00:00,11,9,99531.0,22.0,109.5
2023-07-13 12:00:00,11,10,100279.625,20.5,108.0
2023-07-13 12:00:00,12,0,100096.15625,18.75,121.5
2023-07-13 12:00:00,12,1,99935.9765625,17.25,120.0
2023-07-13 12:00:00,12,2,99262.1953125,17.75,118.75
2023-07-13 12:00:00,12,3,99188.5078125,18.5,118.0
2023-07-13 12:00:00,12,4,98949.3359375,18.75,116.5
2023-07-13 12:00:00,12,5,98638.9296875,19.0,115.0
2023-07-13 12:00:00,12,6,98660.4453125,19.25,113.5
2023-07-13 12:00:00,12,7,98594.0703125,19.25,112.0
2023-07-13 12:00:00,12,8,98940.234375,19.5,110.5
2023-07-13 12:00:00,12,9,99060.7578125,20.0,109.0
2023-07-13 12:00:00,12,10,99527.65625,20.75,107.5
2023-07-13 12:00:00,12,11,100093.0078125,19.25,106.0
2023-07-13 12:00:00,13,0,100205.5859375,17.0,119.0
2023-07-13 12:00:00,13,1,99879.9140625,17.75,119.25
2023-07-13 12:00:00,13,2,99577.3046875,17.25,118.75
2023-07-13 12:00:00,13,3,99331.875,18.5,118.25
2023-07-13 12:00:00,13,4,98955.4453125,19.0,117.75
2023-07-13 12:00:00,13,5,98607.4375,19.75,117.0
2023-07-13 12:00:00,13,6,98557.828125,20.75,115.5
2023-07-13 12:00:00,13,7,98654.671875,21.5,114.0
2023-07-13 12:00:00,13,8,99682.125,22.5,112.5
2023-07-13 12:00:00,13,9,100129.1015625,21.25,111.0
2023-07-13 12:00:00,14,0,100162.515625,18.25,121.5
2023-07-13 12:00:00,14,1,100060.484375,18.75,122.0
2023-07-13 12:00:00,14,2,99993.203125,18.75,120.5
2023-07-13 12:00:00,14,3,99772.5625,19.0,119.0
2023-07-13 12:00:00,14,4,99627.9140625,19.0,117.5
2023-07-13 12:00:00,14,5,99489.390625,19.25,116.0
2023-07-13 12:00:00,14,6,99531.0625,20.25,114.5
2023-07-13 12:00:00,14,7,99730.4140625,20.0,113.0
2023-07-13 12:00:00,14,8,99917.125,19.5,111.5
2023-07-13 12:00:00,14,9,99991.15625,19.75,110.25
2023-07-13 12:00:00,14,10,100247.359375,19.5,108.75
2023-07-13 12:00:00,15,0,100253.9140625,18.75,121.75
2023-07-13 12:00:00,15,1,100073.1875,18.0,120.25
2023-07-13 12:00:00,15,2,99651.734375,18.25,118.75
2023-07-13 12:00:00,15,3,99234.890625,18.75,117.5
2023-07-13 12:00:00,15,4,98728.890625,19.0,116.25
2023-07-13 12:00:00,15,5,99195.34375,19.0,114.75
2023-07-13 12:00:00,15,6,99552.1640625,19.25,113.25
2023-07-13 12:00:00,15,7,99684.90625,17.75,111.75
2023-07-13 12:00:00,15,8,99885.421875,17.5,110.25
2023-07-13 12:00:00,15,9,99786.5078125,17.25,108.75
2023-07-13 12:00:00,15,10,100059.7890625,16.5,109.0
